

X [ m ], Y [ m ], Z [ m ]
4.75499267e-03, 1.01759443e-02, -5.29362082e-01
4.75288834e-03, 1.02604255e-02, -5.29516816e-01
4.72698407e-03, 1.00141959e-02, -5.29175103e-01
4.72457660e-03, 9.91917308e-03, -5.29063821e-01
4.62906854e-03, 9.91803966e-03, -5.29212236e-01
4.55892272e-03, 9.93450824e-03, -5.29347777e-01
4.81529254e-03, 9.66765638e-03, -5.28712332e-01
4.77308454e-03, 9.52891726e-03, -5.28667629e-01
4.70868405e-03, 9.59154963e-03, -5.28781593e-01
4.73106932e-03, 9.37133003e-03, -5.28611124e-01
4.64286562e-03, 9.44332313e-03, -5.28744817e-01
5.53211384e-03, 1.12478724e-02, -5.30340433e-01
5.39399218e-03, 1.11874891e-02, -5.30397117e-01
5.47967898e-03, 1.12929726e-02, -5.30484319e-01
5.61786583e-03, 1.13517037e-02, -5.30426502e-01
5.66299213e-03, 1.13106724e-02, -5.30273438e-01
5.63659053e-03, 1.11650955e-02, -5.29865801e-01
5.51528297e-03, 1.10877343e-02, -5.29937506e-01
5.60751511e-03, 1.11838738e-02, -5.30029714e-01
5.75097231e-03, 1.12456195e-02, -5.29790938e-01
5.72878262e-03, 1.12594375e-02, -5.29958129e-01
2.67185667e-03, 1.27989855e-02, -5.30094266e-01
2.73591070e-03, 1.29274270e-02, -5.30021429e-01
2.80094449e-03, 1.28584225e-02, -5.30153513e-01
2.60547106e-03, 1.26657635e-02, -5.30154884e-01
2.73538218e-03, 1.27273239e-02, -5.30215621e-01
3.35951988e-03, 1.30464062e-02, -5.30513108e-01
3.42823868e-03, 1.29776206e-02, -5.30636191e-01
3.38595151e-03, 1.28336465e-02, -5.30681908e-01
3.30839911e-03, 1.29090529e-02, -5.30567467e-01
3.90553242e-03, 1.30460663e-02, -5.31103134e-01
3.89131857e-03, 1.28814830e-02, -5.31114757e-01
3.80510464e-03, 1.29624354e-02, -5.31014323e-01
3.92562989e-03, 1.32095739e-02, -5.31078160e-01
3.83093650e-03, 1.31251728e-02, -5.30988812e-01
3.72782582e-03, 1.30417645e-02, -5.30901968e-01
3.70117230e-03, 1.28848953e-02, -5.30934811e-01
3.66103509e-03, 1.31123634e-02, -5.30778050e-01
3.62044410e-03, 1.29695619e-02, -5.30822277e-01
3.90998879e-03, 1.34247392e-02, -5.30902982e-01
3.96349374e-03, 1.33705670e-02, -5.31040490e-01
3.86649068e-03, 1.32816583e-02, -5.30950844e-01
3.86255258e-03, 1.34767462e-02, -5.30763507e-01
3.81256663e-03, 1.33392001e-02, -5.30814648e-01
3.92037770e-03, 1.36273662e-02, -5.30709088e-01
3.81471938e-03, 1.35257170e-02, -5.30619681e-01
3.87303112e-03, 1.36640165e-02, -5.30562878e-01
3.96378431e-03, 1.35730077e-02, -5.30857563e-01
3.14974436e-03, 1.32811777e-02, -5.29968023e-01
3.22960434e-03, 1.33830896e-02, -5.29888332e-01
3.27197765e-03, 1.33398427e-02, -5.30035853e-01
3.01999156e-03, 1.32175218e-02, -5.29912472e-01
3.10389418e-03, 1.33275231e-02, -5.29821455e-01
2.95241456e-03, 6.68367976e-03, -5.21804810e-01
3.06735537e-03, 6.61355723e-03, -5.21877110e-01
3.13711748e-03, 6.68504741e-03, -5.22002757e-01
3.02418368e-03, 6.75714156e-03, -5.21927774e-01
5.42053115e-03, 8.50448664e-03, -5.24077117e-01
5.48365386e-03, 8.64661485e-03, -5.24025142e-01
5.34649333e-03, 8.35498702e-03, -5.24129927e-01
5.69630740e-03, 9.21998173e-03, -5.23830891e-01
5.64971520e-03, 9.07502417e-03, -5.23879349e-01
5.74179646e-03, 9.17248521e-03, -5.23978055e-01
5.59620373e-03, 8.93129874e-03, -5.23928046e-01
5.69658959e-03, 9.02835187e-03, -5.24021149e-01
5.43046324e-03, 8.68616719e-03, -5.23894787e-01
5.48666157e-03, 8.83722398e-03, -5.23838162e-01
5.38313529e-03, 8.74867104e-03, -5.23767471e-01
5.08541381e-03, 8.25892575e-03, -5.23844004e-01
5.01818489e-03, 8.32560845e-03, -5.23704529e-01
4.99604875e-03, 8.20103008e-03, -5.23790300e-01
4.94244089e-03, 8.10731295e-03, -5.23811042e-01
5.01515577e-03, 8.14832468e-03, -5.23868561e-01
2.77633476e-03, 4.27974947e-03, -5.23990571e-01
2.72835861e-03, 4.18483838e-03, -5.23921192e-01
2.65674246e-03, 4.23293980e-03, -5.24035096e-01
2.86789448e-03, 4.27269842e-03, -5.23886383e-01
2.87833111e-03, 4.39425325e-03, -5.24024665e-01
3.59352166e-03, 5.50712133e-03, -5.23113191e-01
3.56376544e-03, 5.36449719e-03, -5.23136795e-01
3.58867645e-03, 5.43268817e-03, -5.23301303e-01
3.58045031e-03, 5.55413635e-03, -5.22927582e-01
3.55652976e-03, 5.40220132e-03, -5.22963822e-01
3.05196573e-03, 4.99181077e-03, -5.24805188e-01
3.09468992e-03, 4.95228451e-03, -5.24653554e-01
2.96323607e-03, 4.88860998e-03, -5.24717867e-01
2.82390206e-03, 4.83277673e-03, -5.24777770e-01
2.91687832e-03, 4.93170461e-03, -5.24863780e-01
3.09832883e-03, 4.40553436e-03, -5.23696780e-01
3.06325592e-03, 4.46395064e-03, -5.23851991e-01
3.16597521e-03, 4.53856541e-03, -5.23749650e-01
3.19799571e-03, 4.49826196e-03, -5.23594975e-01
3.13423341e-03, 4.36303439e-03, -5.23548603e-01
3.99330864e-04, 6.68880343e-03, -5.22338390e-01
3.56660807e-04, 6.54950133e-03, -5.22299170e-01
