[Data],,
X [ m ], Y [ m ], Z [ m ]
0.0211253464 ,-0.0166845974 ,-0.4839268620 
0.0208771080 ,-0.0168294348 ,-0.4839871820 
0.0210461747 ,-0.0168090574 ,-0.4840060170 
0.0200773664 ,-0.0162175801 ,-0.4827006460 
0.0199046340 ,-0.0162250306 ,-0.4826590720 
0.0200815536 ,-0.0162257720 ,-0.4825378060 
0.0202905629 ,-0.0162328985 ,-0.4824631810 
0.0202272702 ,-0.0162144825 ,-0.4826301630 
0.0219826289 ,-0.0193032008 ,-0.4828988020 
0.0218364652 ,-0.0192930643 ,-0.4828087390 
0.0217948463 ,-0.0192783941 ,-0.4829954500 
0.0219690111 ,-0.0192909092 ,-0.4830524030 
0.0221440159 ,-0.0193171147 ,-0.4830055240 
0.0212934185 ,-0.0177243948 ,-0.4815002080 
0.0212808289 ,-0.0175543092 ,-0.4815146330 
0.0211362913 ,-0.0176683404 ,-0.4814778270 
0.0219701454 ,-0.0179348364 ,-0.4843346180 
0.0218077172 ,-0.0177974235 ,-0.4843290450 
0.0220003109 ,-0.0177604016 ,-0.4843488040 
0.0214184746 ,-0.0190041289 ,-0.4836061300 
0.0214939825 ,-0.0189237595 ,-0.4837262930 
0.0215849448 ,-0.0190179944 ,-0.4836241010 
0.0215205252 ,-0.0190852825 ,-0.4834973810 
0.0213535000 ,-0.0190721191 ,-0.4834831660 
0.0250051096 ,-0.0172602776 ,-0.4828260240 
0.0248901136 ,-0.0172116347 ,-0.4827877280 
0.0249509122 ,-0.0173148066 ,-0.4827032090 
0.0251266323 ,-0.0172798801 ,-0.4829197530 
0.0250822622 ,-0.0173610654 ,-0.4827549760 
0.0248148702 ,-0.0172651410 ,-0.4826551970 
0.0248787515 ,-0.0173781365 ,-0.4825797680 
0.0246739239 ,-0.0172120109 ,-0.4826056360 
0.0247447100 ,-0.0173336267 ,-0.4825312200 
0.0232450087 ,-0.0170841925 ,-0.4842361210 
0.0233878400 ,-0.0170056261 ,-0.4841764570 
0.0234341808 ,-0.0171286706 ,-0.4842512010 
0.0234532189 ,-0.0169029627 ,-0.4840890470 
0.0235305037 ,-0.0170198623 ,-0.4841703470 
0.0259577371 ,-0.0184140038 ,-0.4826282560 
0.0259324145 ,-0.0182584319 ,-0.4826772810 
0.0258274097 ,-0.0183555745 ,-0.4825725560 
0.0258579105 ,-0.0185067337 ,-0.4825419190 
0.0259966683 ,-0.0185666587 ,-0.4825978880 
0.0259648394 ,-0.0180479772 ,-0.4828416410 
0.0260209553 ,-0.0179798715 ,-0.4829744100 
0.0258998703 ,-0.0179135762 ,-0.4829063710 
0.0258653760 ,-0.0179923661 ,-0.4827947910 
0.0258936156 ,-0.0181146227 ,-0.4827310740 
0.0254735928 ,-0.0179482400 ,-0.4825460310 
0.0255181212 ,-0.0180903636 ,-0.4825055000 
0.0256105233 ,-0.0179977342 ,-0.4826054280 
0.0254128687 ,-0.0178114716 ,-0.4825872480 
0.0255448576 ,-0.0178625509 ,-0.4826416670 
0.0256696716 ,-0.0179129187 ,-0.4826973080 
0.0256214552 ,-0.0177907702 ,-0.4827570320 
0.0257689878 ,-0.0180293322 ,-0.4826917350 
0.0255613532 ,-0.0176549368 ,-0.4828318360 
0.0254868660 ,-0.0175246093 ,-0.4829190080 
0.0254244618 ,-0.0175905097 ,-0.4827774760 
0.0254918374 ,-0.0177285261 ,-0.4827032690 
0.0250710603 ,-0.0171889327 ,-0.4830458160 
0.0251942165 ,-0.0172396693 ,-0.4830933510 
0.0250989441 ,-0.0171595663 ,-0.4831838610 
0.0253200382 ,-0.0173048209 ,-0.4831198450 
0.0252250265 ,-0.0172197986 ,-0.4832252260 
0.0223329663 ,-0.0193375275 ,-0.4829386170 
0.0221706834 ,-0.0193181224 ,-0.4828398820 
0.0224840604 ,-0.0193544459 ,-0.4830694200 
0.0223083738 ,-0.0193299260 ,-0.4830886720 
0.0239680186 ,-0.0194358099 ,-0.4844735860 
0.0239204299 ,-0.0192928277 ,-0.4845187070 
0.0240542069 ,-0.0193472877 ,-0.4845802490 
0.0240986049 ,-0.0194947794 ,-0.4845354860 
0.0233063716 ,-0.0193792135 ,-0.4839848280 
0.0233627055 ,-0.0193168912 ,-0.4841253460 
0.0234430768 ,-0.0194245819 ,-0.4840378460 
0.0233969092 ,-0.0194717627 ,-0.4838867190 
0.0232586563 ,-0.0194242317 ,-0.4838331640 
0.0359962992 ,-0.0232363865 ,-0.4820912780 
0.0361099951 ,-0.0233350061 ,-0.4821673630 
0.0361526199 ,-0.0231870133 ,-0.4821197690 
0.0359554775 ,-0.0233861413 ,-0.4821359520 
0.0360617414 ,-0.0234810058 ,-0.4822100100 
0.0356953815 ,-0.0243809950 ,-0.4826146960 
0.0358175896 ,-0.0243649054 ,-0.4827613530 
0.0358557999 ,-0.0242614355 ,-0.4826611580 
0.0359090008 ,-0.0242943335 ,-0.4828139840 
0.0359768979 ,-0.0241775233 ,-0.4827365580 
0.0361162201 ,-0.0237118080 ,-0.4823765460 
0.0360211469 ,-0.0236288961 ,-0.4822593630 
0.0359789468 ,-0.0237787031 ,-0.4823120830 
0.0362395309 ,-0.0236342046 ,-0.4824468490 
0.0361649022 ,-0.0235679243 ,-0.4823161960 
0.0364268161 ,-0.0228598248 ,-0.4820961360 
0.0365548730 ,-0.0227890704 ,-0.4821773470 
0.0364795662 ,-0.0227200761 ,-0.4820589720 
0.0365107022 ,-0.0229357444 ,-0.4822115000 
0.0363696776 ,-0.0230028760 ,-0.4821356240 
0.0363318436 ,-0.0236929897 ,-0.4827029710 
0.0363900177 ,-0.0236227307 ,-0.4828515650 
0.0363892131 ,-0.0235756449 ,-0.4826797840 
0.0362336338 ,-0.0238168873 ,-0.4826665820 
0.0362930261 ,-0.0236678347 ,-0.4825726750 
0.0361831039 ,-0.0237698704 ,-0.4825125630 
0.0363913551 ,-0.0208965726 ,-0.4810175900 
0.0363600440 ,-0.0210533142 ,-0.4811370670 
0.0364580043 ,-0.0210657418 ,-0.4810115400 
0.0363740362 ,-0.0207337718 ,-0.4810179170 
0.0363320038 ,-0.0208671577 ,-0.4811720250 
0.0366530009 ,-0.0225113891 ,-0.4820723530 
0.0367061272 ,-0.0223737694 ,-0.4820131660 
0.0365754589 ,-0.0224486105 ,-0.4819357990 
0.0367082730 ,-0.0225556921 ,-0.4822178480 
0.0367530957 ,-0.0224198699 ,-0.4821574390 
0.0342885479 ,-0.0234574340 ,-0.4827671950 
0.0342432484 ,-0.0233946890 ,-0.4829247590 
0.0341910906 ,-0.0235446766 ,-0.4828584190 
0.0342552736 ,-0.0236108657 ,-0.4827242200 
0.0343612432 ,-0.0235294588 ,-0.4826393720 
0.0351938382 ,-0.0223914161 ,-0.4831226470 
0.0350981206 ,-0.0224863030 ,-0.4832150940 
0.0350571126 ,-0.0224587321 ,-0.4830518360 
0.0352497064 ,-0.0224379934 ,-0.4832725520 
0.0351625308 ,-0.0225425921 ,-0.4833540320 
0.0362253822 ,-0.0211615618 ,-0.4820628760 
0.0363791212 ,-0.0211105067 ,-0.4821138680 
0.0362999253 ,-0.0212166328 ,-0.4821953770 
0.0364567712 ,-0.0212008972 ,-0.4822295310 
0.0363843516 ,-0.0213012956 ,-0.4823031430 
0.0373163782 ,-0.0213656258 ,-0.4811397190 
0.0372518040 ,-0.0213196035 ,-0.4810020330 
0.0371667258 ,-0.0214157309 ,-0.4810951950 
0.0374293402 ,-0.0213000122 ,-0.4811998900 
0.0374114625 ,-0.0212638825 ,-0.4810622330 
0.0366899520 ,-0.0227455869 ,-0.4824129340 
0.0367378592 ,-0.0225971621 ,-0.4823771120 
0.0366595387 ,-0.0226981919 ,-0.4822690780 
0.0366881564 ,-0.0228009745 ,-0.4825383420 
0.0367398933 ,-0.0226343460 ,-0.4825514850 
0.0372642204 ,-0.0212866589 ,-0.4818864760 
0.0372410305 ,-0.0214341581 ,-0.4818465410 
0.0371634997 ,-0.0213782899 ,-0.4819816650 
0.0373706818 ,-0.0211908836 ,-0.4817940000 
0.0373378359 ,-0.0213416032 ,-0.4817576410 
0.0361160859 ,-0.0221167523 ,-0.4830617310 
0.0359528922 ,-0.0220915992 ,-0.4830715660 
0.0360460095 ,-0.0220000800 ,-0.4829780460 
0.0360180400 ,-0.0222041775 ,-0.4831588270 
0.0361766256 ,-0.0222385842 ,-0.4831347170 
0.0338171609 ,-0.0157528780 ,-0.4828633370 
0.0338927433 ,-0.0158259515 ,-0.4827329810 
0.0339190587 ,-0.0156582426 ,-0.4827712180 
0.0339850970 ,-0.0154789742 ,-0.4828090670 
0.0338721424 ,-0.0155758569 ,-0.4828913210 
0.0340800621 ,-0.0165146403 ,-0.4825665950 
0.0341430046 ,-0.0164532885 ,-0.4824260770 
0.0340466015 ,-0.0163422674 ,-0.4825187330 
